,missed states
0,alabama
1,arizona
2,arkansas
3,colorado
4,connecticut
5,delaware
6,florida
7,georgia
8,hawaii
9,idaho
10,illinois
11,indiana
12,iowa
13,kansas
14,kentucky
15,louisiana
16,maine
17,maryland
18,massachusetts
19,michigan
20,minnesota
21,mississippi
22,missouri
23,montana
24,nebraska
25,nevada
26,new hampshire
27,new jersey
28,new mexico
29,north carolina
30,north dakota
31,ohio
32,oklahoma
33,oregon
34,pennsylvania
35,rhode island
36,south carolina
37,south dakota
38,tennessee
39,texas
40,utah
41,vermont
42,virginia
43,washington
44,west virginia
45,wisconsin
46,wyoming
